## Potential Small-Cap Investment Opportunities: A Report on 50 Companies Under $300M

In an ever-shifting market landscape, investors often look toward small-cap stocks for potential growth opportunities. This report identifies up to 50 companies listed on U.S. exchanges with a market capitalization of under $300 million. The following information is provided for each company: name, ticker symbol, exchange, and a brief description, along with relevant information that may influence their performance.

### Companies in the Micro-Cap and Nano-Cap Space

This curated list features a diverse range of industries, from biotechnology and software to manufacturing and financial services. Each company's summary includes publicly available information that could be perceived as either positive or negative for its stock performance.

| Company Name | Ticker | Exchange | Description | Relevant Information (Positive/Negative) |
|---|---|---|---|---|
| **8x8, Inc.** | EGHT | NASDAQ | Provides contact center, voice, video, chat, and enterprise-class API solutions worldwide. | **Positive:** Generated a record $63.6 million in operating cash flow in fiscal year 2025, marking the highest two-year total in company history. <br> **Negative:** Revenue for 2024 was $715.07 million, a decrease of 1.87% from the previous year. |
| **AirJoule Technologies Corporation** | AIRJ | NASDAQ | An atmospheric renewable energy and water harvesting technology company. | **Positive:** Recently announced a memorandum of understanding with a data center developer to advance onsite water production using waste heat. <br> **Negative:** The stock price has been on a downward trend. |
| **America's Car-Mart, Inc.** | CRMT | NASDAQ | An automotive retailer focused on the integrated auto sales and finance segment of the used car market. | **Positive:** Operates over 150 dealerships in 12 states. <br> **Negative:** The used car market can be sensitive to economic downturns. |
| **AudioEye, Inc.** | AEYE | NASDAQ | A technology company that provides digital accessibility solutions. | **Positive:** Operates in a growing market as web accessibility becomes a legal and social priority. <br> **Negative:** Faces competition from other digital accessibility service providers. |
| **Barnes & Noble Education, Inc.** | BNED | NYSE | A provider of educational products and services for colleges, universities, and K-12 schools. | **Positive:** A well-established brand in the education sector. <br> **Negative:** The shift to digital textbooks and online learning presents ongoing challenges to its traditional business model. |
| **BrainsWay Ltd.** | BWAY | NASDAQ | A commercial-stage medical device company focused on the development and sale of non-invasive neurostimulation treatments. | **Positive:** Developing treatments for major depressive disorder and obsessive-compulsive disorder. <br> **Negative:** As a medical device company, it faces a rigorous and lengthy regulatory approval process for new treatments. |
| **Cadiz Inc.** | CDZI | NASDAQ | A natural resources company dedicated to providing sustainable water and agricultural solutions. | **Positive:** Focused on a critical and in-demand resource. <br> **Negative:** The company's projects can be subject to regulatory hurdles and environmental opposition. |
| **Cartesian Therapeutics, Inc.** | RNAC | NASDAQ | A clinical-stage biotechnology company that provides mRNA cell therapies for the treatment of autoimmune diseases. | **Positive:** Revenue in 2024 was $38.91 million, a 49.64% increase from the previous year. <br> **Negative:** The company reported losses of $77.42 million in 2024. |
| **Citizens Financial Services, Inc.** | CZFS | NASDAQ | A bank holding company that provides various banking products and services. | **Positive:** Reported a 14.98% increase in revenue and a 56.18% increase in earnings in 2024. <br> **Negative:** As a regional bank, its performance can be closely tied to the economic health of its specific operating areas. |
